X,Y
0.65521,-5.1815
0.75291,-4.6796
0.81086,-3.6935
0.048427,-1.2416
0.41471,-2.1358
0.72549,-5.2952
0.13904,0.098088
0.63256,-4.4486
0.24683,-2.3181
0.83997,-2.9983
0.83667,-2.3179
0.45307,-1.483
0.39476,-1.4744
0.9616,-5.7137
0.0081783,1.303
0.39844,-2.5687
0.48777,-2.4589
0.61814,13.837
0.07001,-1.6533
0.14269,-0.11381
0.65423,-4.3845
0.21832,-1.7551
0.11913,-0.34967
0.043137,13.657
0.16556,-1.3802
0.51111,-4.2286
0.86727,-4.8705
0.76626,14.637
0.13495,-2.3634
0.064921,-0.49929
0.67244,18.931
0.48221,-2.4463
0.49542,-3.6777
0.31348,-3.2807
0.3235,-2.0685
0.9091,-5.0992
0.45034,-2.4134
0.74864,0.47072
0.18525,-2.078
0.084922,-0.86454
0.20703,-1.9445
0.55892,-2.826
0.6617,-3.7928
0.93921,-5.4351
0.040245,0.76957
0.16366,-0.33057
0.43812,17.968
0.32567,-1.8447
0.089932,1.6741
0.81032,8.2795
0.39956,-2.91
0.65531,-5.9017
0.56684,-3.8845
0.0031219,0.115
0.65135,-6.0103
0.3171,-0.65061
0.26593,-0.21896
0.46045,-2.8483
0.62316,-4.2312
0.80185,-1.4723
0.56116,-0.49963
0.024804,2.5973
0.79354,-1.2456
0.27309,-1.4248
0.82291,-3.2081
0.68855,-5.6969
0.6039,-2.0023
0.38695,20.093
0.065535,-1.2407
0.99859,-5.5774
0.66104,-2.9629
0.22917,4.8748
0.092255,-0.75214
0.24098,-2.3007
0.90257,7.8741
0.21735,-0.19802
0.47952,-3.4355
0.90923,-5.5707
0.19378,0.91922
0.44799,-2.4181
0.6178,-3.8322
0.59421,18.365
0.66588,2.2578
0.26768,15.324
0.42387,-1.877
0.79932,5.1039
0.93231,-5.8325
0.46972,-2.1318
0.3063,-1.6915
0.43937,-3.2547
0.30686,-3.0978
0.27501,-1.043
0.13875,-0.067309
0.16655,-0.82278
0.49395,-2.9512
0.086584,7.1419
0.92684,-5.8281
0.14848,15.22
0.16048,0.44496
0.71772,-3.2609
0.67489,-4.5306
0.35852,-1.4689
0.090458,-1.137
0.008248,-0.76762
0.37278,-2.4188
0.78831,-4.6491
0.44729,-3.321
0.099625,-2.053
0.80583,-4.164
0.65945,-4.5087
0.45236,-2.7638
0.53336,7.0946
0.52666,-3.1611
0.62968,-0.87311
0.64656,-3.6257
0.19183,23.83
0.80173,-5.5156
0.19657,-0.85897
0.41129,-1.9271
0.23569,-1.0992
0.27221,-3.1996
0.0086685,14.05
0.92828,-6.759
0.52022,-1.2596
0.46413,-3.5207
0.52353,-3.4448
0.33681,11.709
0.33238,-3.4058
0.98829,2.5009
0.47372,-2.1827
0.74686,-4.0631
0.66996,-4.8544
0.79559,-4.4461
0.27254,-2.6586
0.28392,-1.4503
0.71726,-4.9705
0.18464,-0.94818
0.8337,-5.9518
0.16967,4.2997
0.95327,-6.3646
0.72255,16.269
0.13425,3.6632
0.85309,-4.7849
0.93169,-4.0013
0.56418,-4.031
0.39882,-1.0181
0.4416,10.562
0.70168,-5.135
0.26004,12.267
0.028529,-0.58402
0.94797,-5.1456
0.99617,-6.9962
0.77948,-4.6726
0.9894,-5.8075
0.48755,-2.8763
0.12798,-0.5019
0.46437,-3.2843
0.74259,-6.0537
0.67339,-3.8104
0.87398,17.752
0.75825,-3.5576
0.61718,-4.1101
0.27482,-0.83028
0.33638,-0.348
0.83572,-5.4879
0.38589,-2.979
0.080347,7.3561
0.86558,1.6274
0.43537,-2.6449
0.17208,-0.91789
0.0042964,-0.76548
0.6525,4.7799
0.36969,11.195
0.3761,8.2479
0.44134,2.9391
0.51612,-1.7237
0.30011,15.353
0.47832,-6.0494
0.0062469,-0.22108
0.17144,0.20383
0.30356,-2.1889
0.74446,-5.2369
0.58089,-3.1298
0.70121,-2.8558
0.80466,-4.2152
0.85199,-5.1354
0.11772,6.3224
0.65726,-3.5308
