Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
samedi 16 f�vrier 2019,Liga,FC Barcelona,Real Valladolid,Real Valladolid,43,1,0,Penalty,Left foot,Won
dimanche 13 janvier 2019,Liga,FC Barcelona,Eibar,Eibar,53,2,0,Field goal,Left foot,Won
samedi 22 d�cembre 2018,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,45,2,0,Field goal,Left foot,Won
samedi 20 octobre 2018,Liga,FC Barcelona,Sevilla,Sevilla,12,2,0,Field goal,Left foot,Won
dimanche 23 septembre 2018,Liga,FC Barcelona,Girona,Girona,19,1,0,Field goal,Left foot,Draw
samedi 18 ao�t 2018,Liga,FC Barcelona,Alav�s,Alav�s,90+2,3,0,Field goal,Left foot,Won
samedi 18 ao�t 2018,Liga,FC Barcelona,Alav�s,Alav�s,64,1,0,Free kick,Left foot,Won
mercredi 9 mai 2018,Liga,FC Barcelona,Villarreal,Villarreal,45,3,0,Field goal,Left foot,Won
samedi 7 avril 2018,Liga,FC Barcelona,Legan�s,Legan�s,32,2,0,Field goal,Left foot,Won
samedi 7 avril 2018,Liga,FC Barcelona,Legan�s,Legan�s,27,1,0,Free kick,Left foot,Won
dimanche 18 mars 2018,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,30,2,0,Field goal,Left foot,Won
dimanche 4 mars 2018,Liga,FC Barcelona,Atl�tico Madrid,Atl�tico Madrid,26,1,0,Free kick,Left foot,Won
dimanche 7 janvier 2018,Liga,FC Barcelona,Levante,Levante,12,1,0,Field goal,Left foot,Won
dimanche 1 octobre 2017,Liga,FC Barcelona,Las Palmas,Las Palmas,77,3,0,Field goal,Left foot,Won
dimanche 1 octobre 2017,Liga,FC Barcelona,Las Palmas,Las Palmas,71,2,0,Field goal,Left foot,Won
mardi 19 septembre 2017,Liga,FC Barcelona,Eibar,Eibar,20,1,0,Penalty,Left foot,Won
samedi 9 septembre 2017,Liga,FC Barcelona,Espanyol,Espanyol,67,3,0,Field goal,Left foot,Won
samedi 9 septembre 2017,Liga,FC Barcelona,Espanyol,Espanyol,26,1,0,Field goal,Left foot,Won
mercredi 26 avril 2017,Liga,FC Barcelona,Osasuna,Osasuna,12,1,0,Field goal,Left foot,Won
