,Date,Persian_Date,Open,Low,High,Close
0,11/27/2011,1390/09/06,"13,700","13,700","13,700","13,700"
1,11/28/2011,1390/09/07,"13,440","13,440","13,440","13,440"
2,11/29/2011,1390/09/08,"13,350","13,350","13,350","13,350"
3,11/30/2011,1390/09/09,"13,400","13,400","13,400","13,400"
4,12/1/2011,1390/09/10,"13,500","13,500","13,500","13,500"
5,12/3/2011,1390/09/12,"13,650","13,650","13,650","13,650"
6,12/4/2011,1390/09/13,"13,610","13,610","13,610","13,610"
7,12/7/2011,1390/09/16,"13,650","13,650","13,650","13,650"
8,12/8/2011,1390/09/17,"13,550","13,550","13,550","13,550"
9,12/10/2011,1390/09/19,"13,450","13,450","13,450","13,450"
10,12/11/2011,1390/09/20,"13,450","13,450","13,450","13,450"
11,12/12/2011,1390/09/21,"13,530","13,530","13,530","13,530"
12,12/13/2011,1390/09/22,"13,630","13,630","13,630","13,630"
13,12/14/2011,1390/09/23,"13,770","13,770","13,770","13,770"
14,12/15/2011,1390/09/24,"13,710","13,710","13,710","13,710"
15,12/17/2011,1390/09/26,"13,840","13,840","13,840","13,840"
16,12/18/2011,1390/09/27,"14,080","14,080","14,080","14,080"
17,12/19/2011,1390/09/28,"14,500","14,500","14,500","14,500"
18,12/20/2011,1390/09/29,"15,300","15,300","15,300","15,300"
19,12/21/2011,1390/09/30,"15,150","15,150","15,150","15,150"
20,12/22/2011,1390/10/01,"14,230","14,230","14,230","14,230"
21,12/24/2011,1390/10/03,"14,350","14,350","14,350","14,350"
22,12/25/2011,1390/10/04,"14,800","14,800","14,800","14,800"
23,12/26/2011,1390/10/05,"15,250","15,250","15,250","15,250"
24,12/27/2011,1390/10/06,"15,150","15,150","15,150","15,150"
25,12/28/2011,1390/10/07,"15,200","15,200","15,200","15,200"
26,12/29/2011,1390/10/08,"15,220","15,220","15,220","15,220"
27,12/31/2011,1390/10/10,"15,550","15,550","15,550","15,550"
28,1/1/2012,1390/10/11,"15,900","15,900","15,900","15,900"
29,1/2/2012,1390/10/12,"17,400","17,400","17,400","17,400"
30,1/3/2012,1390/10/13,"16,200","16,200","16,200","16,200"
31,1/4/2012,1390/10/14,"15,800","15,800","15,800","15,800"
