matchId,playerId,playType,bodyPart,x,y,interveningOpponents,interveningTeammates,interferenceOnShooter,minute,second,outcome
m_91,p_103,جریان بازی,پای راست,13.47,-11.22,1,0,متوسط,70,9,گُل
m_17,p_16,جریان بازی,پای چپ,9.48,14.22,3,0,متوسط,55,4,مهار توسط دروازه بان
m_111,p_88,ضربه آزاد مستقیم,پای چپ,29.43,-1.25,6,2,کم,86,31,مهار توسط دروازه بان
m_142,p_87,جریان بازی,پای راست,26.93,1.0,4,1,متوسط,77,2,موقعیت از دست رفته
m_117,p_9,جریان بازی,پای راست,10.72,5.24,2,0,متوسط,76,46,گُل
m_147,p_118,جریان بازی,سر,5.49,-1.5,1,0,کم,40,15,موقعیت از دست رفته
m_88,p_101,جریان بازی,سر,14.46,-1.25,3,0,متوسط,88,8,موقعیت از دست رفته
m_66,p_61,جریان بازی,سر,8.98,4.99,1,0,کم,10,29,موقعیت از دست رفته
m_132,p_84,جریان بازی,پای چپ,23.44,-1.25,3,0,متوسط,58,45,برخورد به دفاع
m_99,p_30,جریان بازی,پای چپ,8.48,3.99,2,1,متوسط,43,55,برخورد به دفاع
m_101,p_45,جریان بازی,سر,9.98,-9.98,2,0,متوسط,6,45,مهار توسط دروازه بان
m_158,p_110,جریان بازی,پای راست,10.23,-11.72,3,0,کم,5,42,برخورد به دفاع
m_11,p_79,جریان بازی,پای راست,12.47,9.98,2,0,متوسط,54,41,مهار توسط دروازه بان
m_204,p_85,جریان بازی,سر,10.97,-3.74,3,0,متوسط,16,29,موقعیت از دست رفته
m_108,p_44,جریان بازی,پای راست,17.71,14.71,2,0,کم,88,44,مهار توسط دروازه بان
m_169,p_129,جریان بازی,سر,2.49,5.24,2,0,متوسط,50,44,مهار توسط دروازه بان
m_7,p_30,جریان بازی,پای راست,22.94,1.25,4,1,متوسط,90,6,مهار توسط دروازه بان
m_27,p_116,جریان بازی,سر,4.49,-5.74,1,1,کم,18,37,مهار توسط دروازه بان
m_1,p_159,جریان بازی,پای راست,28.18,-9.73,3,0,متوسط,48,28,موقعیت از دست رفته
